item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00062,ORD00983,PROD0197,1,51630.95,10.0
ITEM00063,ORD00036,PROD0301,3,23634.4,40.0
ITEM00064,ORD01433,PROD0351,1,6465.42,5.0
ITEM00065,ORD00557,PROD0493,1,29584.68,10.0
ITEM00066,ORD01183,PROD0279,2,41555.36,20.0
ITEM00067,ORD01020,PROD0367,1,73398.64,10.0
ITEM00068,ORD00536,PROD0384,5,56210.63,50.0
ITEM00069,ORD00609,PROD0018,5,41858.64,20.0
ITEM00070,ORD01458,PROD0438,5,26191.0,10.0
ITEM00071,ORD00281,PROD0006,5,1384.66,25.0
ITEM00072,ORD00943,PROD0400,5,44603.96,10.0
ITEM00073,ORD00983,PROD0258,3,16310.1,15.0
ITEM00074,ORD00065,PROD0199,5,7126.12,15.0
ITEM00075,ORD00268,PROD0025,1,35461.0,15.0
ITEM00076,ORD00433,PROD0252,4,38264.74,0.0
ITEM00077,ORD00176,PROD0084,5,8396.32,5.0
ITEM00078,ORD00739,PROD0057,1,42739.66,0.0
ITEM00079,ORD00913,PROD0249,4,42539.4,20.0
ITEM00080,ORD00006,PROD0414,2,78032.24,20.0
ITEM00081,ORD01218,PROD0023,2,24734.84,5.0
ITEM00082,ORD00395,PROD0350,4,34185.9,0.0
ITEM00083,ORD01386,PROD0228,1,68799.01,0.0
ITEM00084,ORD01151,PROD0072,5,42760.23,10.0
ITEM00085,ORD00529,PROD0225,4,11964.81,0.0
ITEM00086,ORD01258,PROD0269,3,19874.35,15.0
ITEM00087,ORD00613,PROD0055,1,1156.95,0.0
ITEM00088,ORD01298,PROD0286,1,68281.15,0.0
ITEM00089,ORD01084,PROD0135,3,57298.29,10.0
ITEM00090,ORD00463,PROD0260,2,67110.95,0.0
ITEM00091,ORD01219,PROD0083,2,20578.8,15.0
ITEM00092,ORD00832,PROD0229,5,77330.79,5.0
ITEM00093,ORD00541,PROD0135,2,46325.93,10.0
ITEM00094,ORD01439,PROD0060,2,48733.26,0.0
ITEM00095,ORD01150,PROD0154,4,42955.36,0.0
ITEM00096,ORD00545,PROD0031,1,14875.15,0.0
ITEM00097,ORD00395,PROD0341,5,24296.24,0.0
ITEM00098,ORD00387,PROD0451,3,74430.15,30.0
ITEM00099,ORD01069,PROD0441,2,25469.55,0.0
ITEM00100,ORD01370,PROD0244,2,47402.89,0.0
ITEM00101,ORD00570,PROD0199,5,6246.71,25.0
ITEM00102,ORD00648,PROD0037,2,33945.16,25.0
ITEM00103,ORD00997,PROD0075,1,53238.64,10.0
ITEM00104,ORD00445,PROD0038,2,35881.55,15.0
ITEM00105,ORD00079,PROD0212,3,43794.5,30.0
ITEM00106,ORD00630,PROD0424,-1,16991.78,20.0
ITEM00107,ORD01486,PROD0022,4,88915.45,0.0
ITEM00108,ORD01206,PROD0344,3,52564.1,5.0
ITEM00109,ORD00243,PROD0311,2,46769.55,20.0
ITEM00110,ORD00651,PROD0066,5,61627.12,30.0
ITEM00111,ORD00003,PROD0331,2,40946.75,0.0
ITEM00112,ORD00751,PROD0267,1,19728.67,10.0
ITEM00113,ORD00155,PROD0016,5,5609.38,0.0
ITEM00114,ORD01131,PROD0457,1,82790.13,5.0
ITEM00115,ORD00989,PROD0202,3,51325.54,5.0
ITEM00116,ORD01233,PROD0275,3,55690.83,25.0
ITEM00117,ORD00486,PROD0241,-4,42271.78,20.0
ITEM00118,ORD00927,PROD0430,5,7708.31,30.0
ITEM00119,ORD00195,PROD0310,5,42777.01,0.0
ITEM00120,ORD00521,PROD0173,4,47234.7,40.0
ITEM00121,ORD01150,PROD0273,1,4684.11,0.0
ITEM00122,ORD00681,PROD0138,3,86780.98,10.0
ITEM00123,ORD00925,PROD0117,3,21551.35,30.0
ITEM00124,ORD00529,PROD0290,3,36891.31,0.0
ITEM00125,ORD00663,PROD0172,4,26925.23,0.0
ITEM00126,ORD01223,PROD0307,2,60765.93,20.0
ITEM00127,ORD00955,PROD0456,3,23802.57,0.0
ITEM00128,ORD00755,PROD0352,5,7048.79,10.0
ITEM00129,ORD00209,PROD0105,5,39919.53,10.0
ITEM00130,ORD01376,PROD0061,3,70116.36,15.0
ITEM00131,ORD00802,PROD0106,3,11788.76,0.0
ITEM00132,ORD00688,PROD0332,3,59121.96,0.0
ITEM00133,ORD00113,PROD0248,5,8388.48,10.0
ITEM00134,ORD00914,PROD0175,5,55080.03,0.0
ITEM00135,ORD00485,PROD0064,5,25715.27,50.0
ITEM00136,ORD00541,PROD0002,-3,46747.88,30.0
ITEM00137,ORD01156,PROD0233,5,63376.66,10.0
ITEM00138,ORD01181,PROD0142,4,61784.68,0.0
ITEM00139,ORD00178,PROD0027,4,59719.57,10.0
ITEM00140,ORD01289,PROD0244,3,46249.16,0.0
ITEM00141,ORD00162,PROD0093,1,22696.02,0.0
ITEM00142,ORD01205,PROD0036,5,34182.15,10.0
ITEM00143,ORD01429,PROD0066,4,72731.82,0.0
ITEM00144,ORD00698,PROD0457,1,77927.0,0.0
ITEM00145,ORD01486,PROD0173,3,79384.02,0.0
ITEM00146,ORD00652,PROD0124,5,21123.96,15.0
ITEM00147,ORD00513,PROD0385,5,32640.89,5.0
ITEM00148,ORD00327,PROD0122,5,39058.58,10.0
ITEM00149,ORD00472,PROD0391,4,22437.02,0.0
ITEM00150,ORD01307,PROD0316,2,15562.07,0.0
ITEM00151,ORD00785,PROD0380,3,9176.46,25.0
ITEM00152,ORD00405,PROD0064,4,15429.0,0.0
ITEM00153,ORD00786,PROD0236,-2,70985.19,30.0
ITEM00154,ORD00310,PROD0144,2,25329.79,15.0
ITEM00155,ORD01482,PROD0223,5,3108.83,25.0
ITEM00156,ORD00681,PROD0229,1,58871.41,25.0
ITEM00157,ORD00110,PROD0210,4,79144.17,0.0
ITEM00158,ORD01387,PROD0455,5,28951.92,20.0
ITEM00159,ORD00399,PROD0012,3,12569.9,0.0
ITEM00160,ORD00469,PROD0345,5,25973.03,5.0
ITEM00161,ORD00898,PROD0011,5,31789.75,5.0
ITEM00162,ORD01089,PROD0227,3,28701.32,0.0
ITEM00163,ORD00590,PROD0040,4,9157.08,0.0
ITEM00164,ORD00919,PROD0207,3,19413.33,5.0
ITEM00165,ORD00648,PROD0141,3,23458.16,30.0
ITEM00166,ORD00316,PROD0195,4,26878.64,40.0
ITEM00167,ORD00494,PROD0352,2,9621.57,15.0
ITEM00168,ORD00537,PROD0034,1,53638.81,5.0
ITEM00169,ORD00824,PROD0177,1,38572.19,10.0
ITEM00170,ORD00357,PROD0371,4,46668.23,0.0
ITEM00171,ORD00925,PROD0131,3,20703.77,5.0
ITEM00172,ORD00578,PROD0134,2,57882.18,0.0
ITEM00173,ORD01202,PROD0300,5,29950.31,10.0
ITEM00174,ORD00271,PROD0101,4,46720.07,5.0
ITEM00175,ORD00792,PROD0390,2,46311.51,0.0
ITEM00176,ORD00432,PROD0357,3,11115.49,0.0
ITEM00177,ORD00337,PROD0478,2,12662.59,0.0
ITEM00178,ORD00543,PROD0440,2,37398.28,0.0
ITEM00179,ORD00898,PROD0160,1,54957.67,0.0
ITEM00180,ORD00125,PROD0048,5,31256.27,15.0
ITEM00181,ORD00980,PROD0402,2,36514.9,0.0
ITEM00182,ORD00958,PROD0241,2,52841.8,0.0
ITEM00183,ORD01275,PROD0414,5,90901.07,20.0
ITEM00184,ORD01002,PROD0035,3,7793.8,25.0
ITEM00185,ORD00640,PROD0092,4,39780.1,10.0
ITEM00186,ORD01188,PROD0189,2,25669.7,10.0
ITEM00187,ORD00980,PROD0096,1,25279.67,5.0
ITEM00188,ORD01449,PROD0088,5,3981.71,25.0
ITEM00189,ORD01333,PROD0257,1,33382.99,5.0
ITEM00190,ORD01459,PROD0086,2,22346.06,25.0
ITEM00191,ORD00291,PROD0124,3,30376.78,10.0
ITEM00192,ORD01274,PROD0143,4,2861.63,0.0
ITEM00193,ORD00961,PROD0057,2,43339.36,15.0
ITEM00194,ORD01119,PROD0387,4,10059.83,0.0
ITEM00195,ORD00338,PROD0148,4,8033.52,15.0
ITEM00196,ORD01455,PROD0203,4,5617.18,30.0
ITEM00197,ORD00306,PROD0239,5,65519.91,5.0
ITEM00198,ORD00204,PROD0311,4,40853.94,20.0
ITEM00199,ORD00153,PROD0269,2,20243.71,10.0
ITEM00200,ORD01303,PROD0256,1,17123.43,0.0
ITEM00201,ORD00866,PROD0308,3,20100.09,0.0
ITEM00202,ORD00641,PROD0463,4,34503.57,0.0
ITEM00203,ORD00425,PROD0013,2,21226.5,20.0
ITEM00204,ORD00773,PROD0111,2,40889.84,10.0
ITEM00205,ORD01055,PROD0303,2,20890.45,15.0
ITEM00206,ORD00540,PROD0155,2,16656.69,0.0
ITEM00207,ORD00826,PROD0117,3,29905.69,10.0
ITEM00208,ORD01205,PROD0239,3,58004.36,30.0
ITEM00209,ORD00320,PROD0238,1,32037.46,0.0
ITEM00210,ORD00243,PROD0075,1,54160.0,0.0
ITEM00211,ORD00822,PROD0028,4,60301.21,30.0
ITEM00212,ORD00413,PROD0447,5,36446.15,0.0
ITEM00213,ORD01279,PROD0421,-4,24196.87,0.0
ITEM00214,ORD00840,PROD0445,1,21914.58,5.0
ITEM00215,ORD01031,PROD0100,5,14495.95,0.0
ITEM00216,ORD01047,PROD0052,5,19122.03,0.0
ITEM00217,ORD00537,PROD0013,5,23940.05,5.0
ITEM00218,ORD01303,PROD0230,5,11866.37,10.0
ITEM00219,ORD00468,PROD0319,3,11151.77,0.0
ITEM00220,ORD00437,PROD0265,4,23280.3,20.0
ITEM00221,ORD00293,PROD0222,1,16919.78,15.0
ITEM00222,ORD00819,PROD0281,5,81753.23,10.0
ITEM00223,ORD00914,PROD0496,4,48755.48,5.0
ITEM00224,ORD00218,PROD0366,3,26610.49,0.0
ITEM00225,ORD01178,PROD0391,1,33340.6,15.0
ITEM00226,ORD01387,PROD0142,1,57595.99,0.0
ITEM00227,ORD00674,PROD0007,2,7074.86,10.0
ITEM00228,ORD00596,PROD0100,2,15518.17,10.0
ITEM00229,ORD00844,PROD0291,2,4320.18,0.0
ITEM00230,ORD00427,PROD0034,1,44320.75,0.0
ITEM00231,ORD01386,PROD0248,2,8692.98,10.0
ITEM00232,ORD01426,PROD0085,4,40540.43,0.0
ITEM00233,ORD01474,PROD0343,3,24401.4,15.0
ITEM00234,ORD00116,PROD0191,3,56654.33,10.0
ITEM00235,ORD01224,PROD0281,3,88519.9,15.0
ITEM00236,ORD00020,PROD0168,5,7738.11,10.0
ITEM00237,ORD00395,PROD0143,2,3449.69,0.0
ITEM00238,ORD01449,PROD0012,3,11799.32,5.0
ITEM00239,ORD00620,PROD0261,4,39511.93,0.0
ITEM00240,ORD00524,PROD0303,3,15773.08,0.0
ITEM00241,ORD01394,PROD0076,2,11791.97,30.0
ITEM00242,ORD00194,PROD0128,2,11723.67,30.0
ITEM00243,ORD01315,PROD0358,3,31630.08,10.0
ITEM00244,ORD00603,PROD0205,3,42317.6,0.0
ITEM00245,ORD00908,PROD0125,4,58693.17,40.0
ITEM00246,ORD00152,PROD0340,-3,8948.66,30.0
ITEM00247,ORD00282,PROD0030,4,64024.45,0.0
ITEM00248,ORD00791,PROD0243,3,27033.46,30.0
ITEM00249,ORD00116,PROD0061,4,55021.97,25.0
ITEM00250,ORD01097,PROD0252,4,59102.28,10.0
ITEM00251,ORD00226,PROD0208,2,31601.95,0.0
ITEM00252,ORD00712,PROD0313,3,69187.74,0.0
ITEM00253,ORD01247,PROD0168,1,8035.37,0.0
ITEM00254,ORD01234,PROD0043,1,31924.01,0.0
ITEM00255,ORD00269,PROD0220,1,9480.86,30.0
ITEM00256,ORD01286,PROD0407,2,65622.3,50.0
ITEM00257,ORD01354,PROD0002,1,61560.72,0.0
ITEM00258,ORD00128,PROD0432,3,42228.93,15.0
ITEM00259,ORD01175,PROD0045,3,1841.58,5.0
ITEM00260,ORD01191,PROD0020,1,7123.65,50.0
ITEM00261,ORD00174,PROD0315,2,38390.38,20.0
ITEM00262,ORD01414,PROD0460,4,6013.29,0.0
ITEM00263,ORD00619,PROD0304,5,59223.7,0.0
ITEM00264,ORD01402,PROD0314,1,23763.26,10.0
ITEM00265,ORD01389,PROD0437,5,24150.35,0.0
ITEM00266,ORD00144,PROD0311,3,32772.71,0.0
ITEM00267,ORD00205,PROD0437,2,25442.44,15.0
ITEM00268,ORD00911,PROD0415,5,67716.46,5.0
ITEM00269,ORD01489,PROD0335,4,69269.27,10.0
ITEM00270,ORD01437,PROD0477,3,5439.14,15.0
ITEM00271,ORD00655,PROD0108,2,31529.07,20.0
ITEM00272,ORD00602,PROD0019,5,49581.68,25.0
ITEM00273,ORD00608,PROD0076,-4,8804.21,0.0
ITEM00274,ORD00375,PROD0371,3,36187.09,15.0
ITEM00275,ORD01103,PROD0297,4,17133.38,10.0
ITEM00276,ORD01245,PROD0063,5,29584.17,20.0
ITEM00277,ORD00507,PROD0155,2,22265.37,30.0
ITEM00278,ORD00539,PROD0336,2,12295.61,5.0
ITEM00279,ORD00804,PROD0177,1,31362.47,25.0
ITEM00280,ORD00744,PROD0412,2,38571.08,25.0
ITEM00281,ORD01447,PROD0238,4,44650.3,20.0
ITEM00282,ORD00900,PROD0442,2,40448.89,25.0
ITEM00283,ORD00206,PROD0382,4,44406.12,15.0
ITEM00284,ORD00966,PROD0491,5,85766.3,25.0
ITEM00285,ORD01344,PROD0095,2,29895.26,40.0
ITEM00286,ORD01325,PROD0213,3,5109.05,0.0
ITEM00287,ORD00220,PROD0453,5,897.81,15.0
ITEM00288,ORD01171,PROD0491,2,60043.47,20.0
ITEM00289,ORD00610,PROD0214,1,11561.86,15.0
ITEM00290,ORD00777,PROD0365,5,48835.54,5.0
ITEM00291,ORD01424,PROD0002,5,48140.75,0.0
ITEM00292,ORD00558,PROD0076,5,10305.92,0.0
ITEM00293,ORD01364,PROD0201,5,57687.48,15.0
ITEM00294,ORD01219,PROD0314,1,22367.9,10.0
ITEM00295,ORD01284,PROD0369,3,61460.8,10.0
ITEM00296,ORD01166,PROD0387,3,13385.5,5.0
ITEM00297,ORD01124,PROD0209,1,22427.0,10.0
ITEM00298,ORD00660,PROD0450,4,68676.04,30.0
ITEM00299,ORD00020,PROD0312,3,27491.18,25.0
ITEM00300,ORD00149,PROD0115,3,25901.12,30.0
ITEM00301,ORD01115,PROD0437,2,20516.37,15.0
ITEM00302,ORD00166,PROD0297,3,17309.32,0.0
ITEM00303,ORD00339,PROD0118,4,38733.91,0.0
ITEM00304,ORD00849,PROD0002,1,60052.67,25.0
ITEM00305,ORD00538,PROD0141,5,28063.52,30.0
ITEM00306,ORD00549,PROD0009,3,45930.2,20.0
ITEM00307,ORD01044,PROD0340,5,8842.66,0.0
ITEM00308,ORD00996,PROD0339,1,44296.34,25.0
ITEM00309,ORD01239,PROD0474,5,47295.98,20.0
ITEM00310,ORD00479,PROD0091,2,56098.24,0.0
ITEM00311,ORD00766,PROD0220,2,7182.02,40.0
ITEM00312,ORD01203,PROD0011,3,24359.59,0.0
ITEM00313,ORD00234,PROD0150,4,49528.79,0.0
ITEM00314,ORD00978,PROD0219,2,4546.44,5.0
ITEM00315,ORD01282,PROD0392,3,24146.92,50.0
ITEM00316,ORD00726,PROD0355,1,43072.14,0.0
ITEM00317,ORD00795,PROD0080,1,31372.01,40.0
ITEM00318,ORD00372,PROD0034,3,64168.65,40.0
ITEM00319,ORD00147,PROD0059,3,79848.06,0.0
ITEM00320,ORD01045,PROD0393,5,53522.05,10.0
ITEM00321,ORD00255,PROD0063,5,23383.28,0.0
ITEM00322,ORD00012,PROD0043,1,24925.28,5.0
ITEM00323,ORD00695,PROD0199,5,7144.88,40.0
ITEM00324,ORD01074,PROD0372,5,23640.58,25.0
ITEM00325,ORD01062,PROD0407,-1,64269.48,0.0
ITEM00326,ORD01018,PROD0176,5,55610.68,0.0
ITEM00327,ORD00853,PROD0474,3,42308.76,0.0
ITEM00328,ORD00270,PROD0437,-4,26273.79,0.0
ITEM00329,ORD00568,PROD0263,4,40623.39,0.0
ITEM00330,ORD00255,PROD0098,4,66145.59,20.0
ITEM00331,ORD01332,PROD0383,2,5614.12,25.0
ITEM00332,ORD00406,PROD0479,4,33532.26,10.0
ITEM00333,ORD00234,PROD0235,3,35950.88,0.0
ITEM00334,ORD00553,PROD0022,2,53271.89,0.0
ITEM00335,ORD00982,PROD0182,3,6518.1,15.0
ITEM00336,ORD00788,PROD0213,1,7681.78,40.0
ITEM00337,ORD00008,PROD0442,2,44137.59,25.0
ITEM00338,ORD00928,PROD0305,1,3938.6,10.0
ITEM00339,ORD00131,PROD0243,5,21055.73,20.0
ITEM00340,ORD00683,PROD0175,1,54000.77,20.0
ITEM00341,ORD00866,PROD0327,3,32854.81,10.0
ITEM00342,ORD01375,PROD0218,1,25823.93,0.0
ITEM00343,ORD00666,PROD0154,2,59949.29,15.0
ITEM00344,ORD00162,PROD0418,2,33333.69,0.0
ITEM00345,ORD00013,PROD0436,1,48178.68,40.0
ITEM00346,ORD00037,PROD0187,3,43460.2,20.0
ITEM00347,ORD01438,PROD0209,3,15367.02,5.0
ITEM00348,ORD01028,PROD0365,2,40980.09,30.0
ITEM00349,ORD00079,PROD0309,-1,70771.77,5.0
ITEM00350,ORD01476,PROD0049,3,8714.6,5.0
ITEM00351,ORD00682,PROD0064,2,16455.88,10.0
ITEM00352,ORD00238,PROD0041,3,61396.84,5.0
ITEM00353,ORD00905,PROD0390,5,56661.74,30.0
ITEM00354,ORD00026,PROD0041,5,86093.49,30.0
ITEM00355,ORD00237,PROD0446,3,63337.33,30.0
ITEM00356,ORD01389,PROD0337,4,59589.32,20.0
ITEM00357,ORD01166,PROD0021,4,44963.77,0.0
ITEM00358,ORD00181,PROD0171,1,17447.7,0.0
ITEM00359,ORD00315,PROD0049,5,8612.28,0.0
ITEM00360,ORD01396,PROD0457,4,70291.02,25.0
ITEM00361,ORD00977,PROD0208,3,33756.58,0.0
ITEM00362,ORD00301,PROD0482,2,57514.44,0.0
ITEM00363,ORD00459,PROD0087,5,25710.95,20.0
ITEM00364,ORD00881,PROD0054,1,62885.9,10.0
ITEM00365,ORD01472,PROD0374,2,63106.31,20.0
ITEM00366,ORD01372,PROD0421,5,29129.58,0.0
ITEM00367,ORD00113,PROD0209,5,15149.64,25.0
ITEM00368,ORD00591,PROD0296,2,75133.25,10.0
ITEM00369,ORD00623,PROD0122,2,36411.21,15.0
ITEM00370,ORD00190,PROD0199,5,4969.56,0.0
ITEM00371,ORD00914,PROD0070,5,47458.8,10.0
ITEM00372,ORD00184,PROD0297,2,17705.47,15.0
ITEM00373,ORD01266,PROD0456,4,15910.82,0.0
ITEM00374,ORD00630,PROD0310,-1,40374.13,10.0
ITEM00375,ORD00717,PROD0098,2,70685.44,10.0
ITEM00376,ORD00941,PROD0417,1,19866.29,40.0
ITEM00377,ORD00915,PROD0128,1,9400.47,0.0
ITEM00378,ORD00592,PROD0128,1,13687.32,15.0
ITEM00379,ORD01320,PROD0069,3,29182.48,40.0
ITEM00380,ORD01161,PROD0295,2,29992.85,20.0
ITEM00381,ORD00349,PROD0425,4,46211.14,0.0
ITEM00382,ORD00767,PROD0106,2,10804.18,20.0
ITEM00383,ORD01422,PROD0403,-3,27916.83,5.0
ITEM00384,ORD00302,PROD0211,5,12995.28,15.0
ITEM00385,ORD01435,PROD0228,2,63847.71,0.0
ITEM00386,ORD00941,PROD0181,2,59570.1,10.0
ITEM00387,ORD00142,PROD0486,1,29154.43,0.0
ITEM00388,ORD00257,PROD0222,1,14348.11,20.0
ITEM00389,ORD00806,PROD0427,4,50472.75,10.0
ITEM00390,ORD01001,PROD0105,3,32275.19,0.0
ITEM00391,ORD00367,PROD0144,1,26668.88,10.0
ITEM00392,ORD00132,PROD0391,5,27295.24,10.0
ITEM00393,ORD00564,PROD0156,4,3650.17,0.0
ITEM00394,ORD00511,PROD0443,4,56974.54,40.0
ITEM00395,ORD01025,PROD0139,2,54541.83,10.0
ITEM00396,ORD00025,PROD0069,2,16466.31,15.0
ITEM00397,ORD00973,PROD0197,5,37587.64,10.0
ITEM00398,ORD00092,PROD0479,3,21401.21,20.0
ITEM00399,ORD01019,PROD0268,1,40051.14,0.0
ITEM00400,ORD00005,PROD0338,3,68579.74,20.0
ITEM00401,ORD00986,PROD0011,1,23681.0,0.0
ITEM00402,ORD01080,PROD0145,2,16084.92,20.0
ITEM00403,ORD00451,PROD0343,5,31294.11,10.0
ITEM00404,ORD00813,PROD0474,2,37419.75,15.0
ITEM00405,ORD00560,PROD0271,1,39324.42,5.0
ITEM00406,ORD00105,PROD0354,4,24812.64,10.0
ITEM00407,ORD01120,PROD0001,2,62900.77,0.0
ITEM00408,ORD00740,PROD0157,4,80986.76,0.0
ITEM00409,ORD00454,PROD0412,2,39092.14,15.0
ITEM00410,ORD01146,PROD0343,5,29987.04,10.0
ITEM00411,ORD00776,PROD0183,4,50208.33,15.0
ITEM00412,ORD00468,PROD0456,1,17343.63,25.0
ITEM00413,ORD00124,PROD0183,2,64629.46,10.0
ITEM00414,ORD00756,PROD0253,5,56153.89,0.0
ITEM00415,ORD00723,PROD0040,2,6640.88,0.0
ITEM00416,ORD00744,PROD0444,4,18913.18,10.0
ITEM00417,ORD00650,PROD0379,5,26532.28,10.0
ITEM00418,ORD01291,PROD0070,2,42058.1,0.0
ITEM00419,ORD01379,PROD0050,1,41968.42,30.0
ITEM00420,ORD00783,PROD0210,3,54772.77,15.0
ITEM00421,ORD00145,PROD0456,2,19785.98,0.0
ITEM00422,ORD00686,PROD0473,1,16862.71,0.0
ITEM00423,ORD01458,PROD0129,5,35246.59,20.0
ITEM00424,ORD00152,PROD0481,-1,45709.54,10.0
ITEM00425,ORD00688,PROD0142,1,62859.74,30.0
ITEM00426,ORD00165,PROD0251,2,65559.63,20.0
ITEM00427,ORD00274,PROD0455,1,27976.6,10.0
ITEM00428,ORD01385,PROD0118,3,66111.36,0.0
ITEM00429,ORD01222,PROD0357,3,9830.4,20.0
ITEM00430,ORD01333,PROD0285,1,14664.89,20.0
ITEM00431,ORD00207,PROD0322,3,31499.9,0.0
ITEM00432,ORD00604,PROD0422,1,37150.6,20.0
ITEM00433,ORD00439,PROD0101,2,46296.93,0.0
ITEM00434,ORD00187,PROD0236,4,49600.24,0.0
ITEM00435,ORD01150,PROD0069,2,16658.72,5.0
ITEM00436,ORD00360,PROD0388,3,65947.38,25.0
ITEM00437,ORD01267,PROD0222,-1,11694.2,25.0
ITEM00438,ORD00856,PROD0082,1,27166.58,0.0
ITEM00439,ORD00429,PROD0018,4,47595.5,0.0
ITEM00440,ORD00605,PROD0392,1,15420.32,0.0
ITEM00441,ORD01103,PROD0056,2,12357.97,0.0
ITEM00442,ORD00074,PROD0267,5,25339.76,40.0
ITEM00443,ORD01146,PROD0478,5,15570.08,50.0
ITEM00444,ORD00667,PROD0454,5,67474.82,10.0
ITEM00445,ORD00091,PROD0291,4,4203.58,10.0
ITEM00446,ORD00177,PROD0313,4,70291.98,0.0
ITEM00447,ORD00804,PROD0134,1,62260.06,0.0
ITEM00448,ORD00387,PROD0152,5,64649.95,10.0
ITEM00449,ORD00529,PROD0047,1,87447.31,20.0
ITEM00450,ORD00130,PROD0065,2,41040.26,20.0
ITEM00451,ORD01467,PROD0274,1,30409.92,10.0
ITEM00452,ORD00854,PROD0203,5,6762.46,20.0
ITEM00453,ORD00690,PROD0419,5,26059.39,0.0
ITEM00454,ORD00894,PROD0449,2,7048.98,0.0
ITEM00455,ORD01344,PROD0026,5,57034.45,10.0
ITEM00456,ORD00418,PROD0038,5,29324.73,0.0
ITEM00457,ORD00419,PROD0269,3,16479.44,0.0
ITEM00458,ORD00298,PROD0282,2,23599.66,0.0
ITEM00459,ORD00075,PROD0252,2,56957.75,0.0
ITEM00460,ORD00910,PROD0405,1,10380.94,10.0
ITEM00461,ORD00554,PROD0320,4,50932.74,20.0
ITEM00462,ORD00254,PROD0280,3,19074.27,10.0
ITEM00463,ORD00878,PROD0349,3,22999.17,0.0
ITEM00464,ORD00021,PROD0392,1,13774.6,20.0
