order_id,order_ts,customer_id,product_id,store_id,quantity,unit_price,discount_pct,gross_amount,payment_method,order_status
O0000056,2025-10-07 04:59:00,C00639,P00315,S048,1,70646.68,0.05,70646.68,CARD,delivered
O0000057,2025-11-30 04:41:00,C01300,P00071,S027,1,40699.34,0.0,36629.41,COD,shipped
O0000058,2026-02-01 01:33:00,C02276,P00756,S024,2,58841.77,0.0,100031.01,COD,shipped
O0000059,2025-12-12 16:33:00,C02403,P00635,S063,5,84892.48,0.05,360793.04,NETBANKING,delivered
O0000060,2026-01-17 14:57:00,C01693,P00154,S001,4,10895.35,0.05,39223.26,COD,returned
O0000061,2026-04-08 22:10:00,C00286,P00539,S028,3,37814.51,0.05,107771.35,UPI,delivered
O0000062,2025-11-18 02:08:00,C00030,P00642,S040,2,27317.69,0.0,51903.61,UPI,cancelled
O0000063,2026-04-08 00:56:00,C01702,P00269,S063,1,71506.81,0.05,67931.47,CARD,returned
O0000064,2026-01-27 11:01:00,C01655,P00532,S012,5,72347.53,0.15,307477.0,CARD,delivered
O0000065,2025-12-29 15:29:00,C02303,P00643,S035,3,59535.27,0.15,160745.23,CARD,cancelled
O0000066,2025-11-09 18:02:00,C02093,P00795,S059,3,18705.7,0.15,56117.1,CARD,delivered
O0000067,2026-01-09 01:35:00,C00496,P00661,S061,2,33429.26,0.05,56829.74,UPI,cancelled
O0000068,2026-03-25 06:12:00,C02313,P00672,S075,4,69911.56,0.05,265663.93,UPI,shipped
O0000069,2025-11-16 05:09:00,C01688,P00176,S013,5,1942.77,0.15,9228.16,COD,returned
O0000070,2025-10-20 20:19:00,C00969,P00171,S042,2,28237.73,0.1,53651.69,CARD,returned
O0000071,2026-02-16 06:20:00,C01712,P00126,S063,5,22142.03,0.15,99639.13,NETBANKING,delivered
O0000072,2025-11-11 12:18:00,C01070,P00260,S074,2,85893.82,0.15,154608.88,UPI,delivered
O0000073,2026-01-23 19:52:00,C00766,P00585,S023,5,70829.61,0.15,354148.05,UPI,delivered
O0000074,2025-10-15 10:15:00,C00461,P00220,S063,5,80821.7,0.1,343492.22,CARD,returned
O0000075,2026-02-20 16:15:00,C00404,P00138,S047,2,7551.63,0.15,15103.26,UPI,returned
O0000076,2025-11-18 05:02:00,C02485,P00703,S060,1,30741.19,0.15,26130.01,COD,delivered
O0000077,2026-03-27 23:46:00,C00757,P00243,S069,3,19175.41,0.15,51773.61,UPI,delivered
O0000078,2025-11-21 00:17:00,C00336,P00587,S074,3,78088.55,0.1,199125.8,UPI,cancelled
O0000079,2025-10-18 11:53:00,C00094,P00798,S020,2,38520.65,0.05,77041.3,COD,delivered
O0000080,2025-10-24 09:12:00,C00233,P00627,S026,4,43325.42,0.0,164636.6,NETBANKING,cancelled
O0000081,2025-10-22 06:43:00,C02494,P00118,S019,5,57671.0,0.15,288355.0,UPI,delivered
O0000082,2026-04-06 04:07:00,C01886,P00420,S060,2,26013.63,0.05,52027.26,UPI,delivered
O0000083,2026-03-05 23:43:00,C01568,P00413,S014,1,53756.74,0.05,53756.74,CARD,delivered
O0000084,2025-10-31 19:46:00,C01405,P00678,S068,1,79638.67,0.15,75656.74,CARD,delivered
O0000085,2026-03-09 23:46:00,C02343,P00198,S056,2,73184.59,0.15,131732.26,COD,delivered
O0000086,2026-02-15 00:42:00,C02134,P00107,S020,2,3621.18,0.1,6518.12,CARD,delivered
O0000087,2025-10-24 09:01:00,C02150,P00144,S044,5,30047.33,0.0,127701.15,COD,delivered
O0000088,2025-11-08 19:18:00,C02423,P00199,S047,4,65508.38,0.1,262033.52,NETBANKING,delivered
O0000089,2026-04-08 23:41:00,C02331,P00611,S045,1,57830.24,0.05,54938.73,NETBANKING,delivered
O0000090,2025-10-25 07:29:00,C00782,P00435,S046,1,18705.7,0.1,16835.13,COD,cancelled
O0000091,2025-12-18 04:13:00,C00640,P00027,S019,1,46560.04,0.15,46560.04,UPI,cancelled
O0000092,2025-11-01 11:39:00,C02284,P00507,S036,2,6922.87,0.0,13153.45,CARD,returned
O0000093,2026-03-08 01:28:00,C02420,P00023,S053,1,74693.65,0.05,63489.6,CARD,delivered
O0000094,2025-12-12 16:41:00,C01070,P00163,S001,1,50547.87,0.05,45493.08,COD,delivered
O0000095,2025-12-03 01:07:00,C01662,P00509,S073,1,76016.38,0.15,68414.74,COD,cancelled
O0000096,2025-12-18 19:04:00,C01524,P00292,S055,3,35110.72,0.05,94798.94,CARD,shipped
O0000097,2026-01-31 03:08:00,C00012,P00114,S006,3,3872.45,0.0,9874.75,UPI,returned
O0000098,2025-11-01 01:13:00,C02269,P00236,S013,1,54615.0,0.15,46422.75,NETBANKING,shipped
O0000099,2025-10-24 15:10:00,C02230,P00014,S067,4,17985.15,0.0,71940.6,COD,cancelled
O0000100,2025-10-28 04:37:00,C01404,P00722,S008,1,83127.16,0.15,83127.16,UPI,delivered
O0000101,2026-02-08 01:26:00,C00221,P00474,S030,4,30353.53,0.1,115343.41,UPI,delivered
O0000102,2025-12-13 11:33:00,C00818,P00411,S023,3,13355.18,0.0,36058.99,CARD,delivered
O0000103,2025-10-05 18:27:00,C01831,P00437,S055,2,83194.16,0.1,149749.49,NETBANKING,delivered
O0000104,2025-11-22 03:35:00,C00821,P00622,S052,1,2808.32,0.05,2667.9,NETBANKING,shipped
O0000105,2026-01-20 12:27:00,C02397,P00066,S068,2,77697.62,0.05,139855.72,CARD,cancelled
O0000106,2025-10-05 01:03:00,C01744,P00103,S040,3,81415.77,0.1,207610.21,UPI,delivered
O0000107,2025-10-30 01:28:00,C00510,P00259,S005,5,59122.37,0.0,251270.07,COD,returned
O0000108,2025-11-30 17:49:00,C02352,P00004,S041,5,46092.54,0.05,207416.43,UPI,shipped
O0000109,2025-11-14 01:16:00,C02416,P00305,S064,5,89193.1,0.15,445965.5,NETBANKING,delivered
O0000110,2026-03-15 02:12:00,C00493,P00425,S049,4,54013.86,0.1,183647.12,UPI,cancelled
O0000111,2026-01-06 03:09:00,C00202,P00497,S062,2,74754.17,0.1,134557.51,CARD,delivered
O0000112,2025-11-14 10:27:00,C02388,P00583,S015,2,38520.65,0.15,69337.17,UPI,delivered
O0000113,2026-04-01 08:10:00,C00108,P00220,S060,4,89809.83,0.0,341277.35,NETBANKING,returned
O0000114,2025-11-13 03:05:00,C00113,P00646,S034,4,55389.84,0.0,210481.39,UPI,delivered
O0000115,2026-01-03 21:44:00,C00601,P00115,S011,5,1922.83,0.15,8172.03,UPI,returned
O0000116,2026-02-06 20:37:00,C00290,P00560,S052,3,85826.41,0.1,257479.23,COD,returned
O0000117,2025-11-05 05:48:00,C02138,P00526,S030,1,25685.87,0.15,23117.28,COD,cancelled
O0000118,2025-10-03 17:11:00,C02213,P00048,S054,1,80091.77,0.15,72082.59,COD,cancelled
O0000119,2026-03-20 02:53:00,C02308,P00088,S039,2,16034.57,0.15,27258.77,UPI,delivered
O0000120,2025-11-10 16:57:00,C00678,P00615,S055,4,26467.14,0.05,95281.7,NETBANKING,cancelled
O0000121,2026-02-26 21:59:00,C01095,P00045,S046,4,72609.64,0.05,290438.56,UPI,shipped
O0000122,2025-10-23 18:27:00,C00181,P00507,S071,1,6421.55,0.05,5458.32,CARD,cancelled
O0000123,2025-12-12 21:57:00,C01366,P00741,S049,5,83512.41,0.1,396683.95,UPI,cancelled
O0000124,2026-02-26 21:42:00,C00186,P00620,S054,4,78380.74,0.1,282170.66,NETBANKING,cancelled
O0000125,2026-02-17 07:46:00,C00105,P00273,S058,3,56866.69,0.1,145010.06,CARD,delivered
O0000126,2026-01-22 00:09:00,C01581,P00146,S021,5,5351.49,0.1,26757.45,CARD,cancelled
O0000127,2025-12-10 17:34:00,,P00588,S029,2,unknown,0.1,bad_amount,NETBANKING,returned
O0000128,2026-03-28 16:14:00,C00564,P00265,S051,5,8448.17,0.15,35904.72,CARD,returned
O0000129,2026-01-22 19:36:00,C00260,P00092,S039,1,31812.32,0.0,31812.32,CARD,delivered
O0000130,2026-02-28 23:15:00,C00838,P00732,S053,3,85826.41,0.0,244605.27,CARD,delivered
O0000131,2026-01-30 23:26:00,C01019,P00045,S033,1,33985.86,0.1,32286.57,UPI,cancelled
O0000132,2025-12-25 22:01:00,C01238,P00508,S019,2,20639.77,0.1,37151.59,UPI,returned
O0000133,2025-10-25 13:20:00,C01121,P00029,S073,1,7578.09,0.15,6820.28,NETBANKING,delivered
O0000134,2026-01-29 23:30:00,C01060,P00609,S069,1,54939.76,0.0,52192.77,UPI,cancelled
O0000135,2026-01-27 17:09:00,C01814,P00278,S053,1,33752.53,0.0,33752.53,CARD,shipped
O0000136,2026-03-09 05:58:00,C01086,P00560,S055,4,3715.45,0.05,12632.53,NETBANKING,returned
O0000137,2026-02-18 14:19:00,C00370,P00336,S044,5,40752.6,0.1,183386.7,COD,delivered
O0000138,2025-10-29 03:39:00,C00240,P00704,S062,2,59184.15,0.1,112449.88,CARD,cancelled
O0000139,2026-03-27 01:22:00,C00322,P00433,S008,1,79505.04,0.05,67579.28,NETBANKING,delivered
O0000140,2026-01-16 10:15:00,C00410,P00528,S075,4,68215.7,0.1,259219.66,COD,shipped
O0000141,2026-03-03 01:24:00,C00102,P00609,S074,4,8710.16,0.1,34840.64,CARD,shipped
O0000142,2026-02-13 18:16:00,C01542,P00385,S036,2,5379.25,0.15,9682.65,NETBANKING,cancelled
O0000143,2026-01-14 01:20:00,C00059,P00319,S041,4,1133.19,0.15,4306.12,COD,cancelled
O0000144,2026-01-22 10:34:00,C01264,P00787,S041,1,64199.22,0.05,54569.34,CARD,returned
O0000145,2026-03-05 00:27:00,C01058,P00415,S049,2,39118.67,0.05,70413.61,CARD,cancelled
O0000146,2025-12-26 22:18:00,C01369,P00619,S045,1,87331.64,0.05,74231.89,UPI,delivered
O0000147,2026-03-27 21:27:00,C00717,P00156,S038,2,49831.34,0.05,99662.68,NETBANKING,cancelled
O0000148,2026-01-31 22:42:00,C00551,P00783,S041,4,38863.82,0.0,132136.99,NETBANKING,delivered
O0000149,2025-10-27 02:11:00,C00379,P00382,S065,3,68215.7,0.1,204647.1,NETBANKING,delivered
O0000150,2025-10-02 17:00:00,C01971,P00729,S064,1,85215.81,0.05,72433.44,CARD,delivered
O0000151,2025-11-14 18:38:00,C01120,P00457,S018,3,42679.32,0.15,128037.96,COD,delivered
O0000152,2026-03-13 13:04:00,C00675,P00055,S027,2,33758.25,0.1,67516.5,CARD,cancelled
O0000153,2025-12-27 07:27:00,C02181,P00050,S060,3,78202.6,0.1,199416.63,CARD,shipped
O0000154,2025-12-07 16:11:00,C02284,P00712,S030,3,13602.82,0.1,40808.46,COD,shipped
O0000155,2025-12-08 01:02:00,C01252,P00669,S048,4,unknown,0.1,bad_amount,NETBANKING,shipped
O0000156,2026-04-08 04:55:00,C00574,P00199,S020,2,45291.18,0.15,90582.36,COD,returned
O0000157,2026-03-07 23:46:00,C01847,P00449,S051,4,67726.99,0.05,270907.96,CARD,shipped
O0000158,2026-03-15 20:43:00,C00126,P00197,S072,2,33644.21,0.15,63924.0,CARD,delivered
O0000159,2026-01-30 11:45:00,C00276,P00622,S050,1,1549.6,0.05,1549.6,UPI,shipped
O0000160,2025-12-24 22:40:00,C02494,P00236,S042,2,26173.66,0.05,44495.22,COD,returned
O0000161,2025-11-28 10:54:00,C00147,P00717,S014,2,35756.37,0.0,71512.74,NETBANKING,cancelled
O0000162,2026-01-30 16:18:00,C01415,P00177,S036,5,42833.72,0.1,182043.31,COD,shipped
O0000163,2025-12-06 08:27:00,C02192,P00371,S009,1,77517.8,0.15,73641.91,CARD,cancelled
O0000164,2026-03-30 17:06:00,C01313,P00247,S016,1,unknown,0.05,bad_amount,NETBANKING,returned
O0000165,2026-02-09 21:16:00,C02327,P00594,S055,5,25183.45,0.05,107029.66,UPI,shipped
O0000166,2025-12-20 15:37:00,C01124,P00461,S018,2,6922.87,0.1,13845.74,NETBANKING,delivered
O0000167,2025-10-10 02:55:00,C01035,P00180,S035,5,68187.0,0.05,289794.75,CARD,returned
O0000168,2026-03-16 07:37:00,C00976,P00582,S014,4,65097.56,0.05,247370.73,UPI,returned
O0000169,2026-02-05 00:25:00,C00707,P00530,S066,2,1942.77,0.0,3691.26,CARD,delivered
O0000170,2025-11-07 03:02:00,C00943,P00180,S001,1,12387.77,0.0,11768.38,UPI,returned
O0000171,2026-01-07 14:27:00,C00123,P00521,S072,4,68692.94,0.15,274771.76,NETBANKING,delivered
O0000172,2025-10-03 17:05:00,C01572,P00096,S037,3,16034.57,0.0,43293.34,CARD,returned
O0000173,2025-12-14 10:41:00,C02416,P00523,S007,2,12030.66,0.15,24061.32,COD,cancelled
O0000174,2026-02-18 20:08:00,C01674,P00603,S041,2,41464.68,0.0,74636.42,UPI,delivered
O0000175,2025-11-20 23:49:00,C00748,P00004,S048,1,87510.96,0.1,74384.32,COD,returned
O0000176,2026-01-06 14:53:00,C00189,P00447,S056,1,16426.26,0.15,16426.26,NETBANKING,shipped
O0000177,2025-10-24 02:00:00,C00355,P00726,S012,4,49138.78,0.05,176899.61,COD,delivered
O0000178,2026-01-23 17:20:00,C01923,P00043,S067,1,46246.98,0.0,41622.28,COD,returned
O0000179,2026-99-99 10:00:00,C02270,P00145,S049,5,51425.08,0.15,231412.86,CARD,cancelled
O0000180,2026-03-05 14:50:00,C02212,P00444,S072,1,70944.79,0.0,67397.55,NETBANKING,returned
O0000181,2026-03-24 21:41:00,C01492,P00032,S048,4,12387.77,0.15,49551.08,CARD,shipped
O0000182,2026-01-25 02:36:00,C02436,P00243,S017,4,85717.48,0.0,342869.92,UPI,delivered
O0000183,2026-01-19 22:48:00,C01558,P00016,S039,3,55208.34,0.0,157343.77,UPI,returned
O0000184,2026-01-03 04:04:00,C02091,P00322,S016,4,39280.5,0.15,141409.8,NETBANKING,cancelled
O0000185,2025-12-14 22:05:00,C01578,P00617,S024,2,89625.7,0.0,161326.26,UPI,returned
O0000186,2026-03-22 20:35:00,C02493,P00730,S052,2,68471.77,0.05,136943.54,NETBANKING,shipped
O0000187,2025-11-15 05:09:00,C02099,P00602,S010,5,83719.94,0.15,376739.73,UPI,shipped
O0000188,2026-04-03 23:23:00,C02268,P00355,S038,3,40253.57,0.1,120760.71,NETBANKING,delivered
O0000189,2025-12-21 13:49:00,C02368,P00145,S017,5,10121.56,0.1,50607.8,NETBANKING,delivered
O0000190,2026-03-31 18:01:00,C00900,P00722,S044,1,84092.97,0.15,71479.02,COD,delivered
O0000191,2026-01-26 05:13:00,C00728,P00516,S021,2,86705.09,0.1,147398.65,COD,delivered
O0000192,2025-10-15 02:31:00,C00660,P00706,S034,5,73520.93,0.15,349224.42,CARD,delivered
O0000193,2025-11-04 13:04:00,C00026,P00494,S009,4,78737.66,0.0,283455.58,COD,returned
O0000194,2026-03-14 22:48:00,C02353,P00381,S001,1,75370.76,0.05,75370.76,NETBANKING,delivered
O0000195,2026-03-18 02:20:00,C00179,P00762,S047,2,37810.18,0.05,75620.36,NETBANKING,delivered
O0000196,2026-02-23 04:12:00,C00291,P00441,S041,1,26173.66,0.0,22247.61,UPI,cancelled
O0000197,2025-12-05 22:53:00,C02302,P00729,S042,1,1030.32,0.1,927.29,CARD,delivered
O0000198,2026-02-23 16:29:00,C01689,P00353,S017,4,77878.53,0.1,295938.41,COD,cancelled
O0000199,2025-10-30 13:53:00,C01943,P00208,S040,1,84098.93,0.0,79893.98,CARD,delivered
O0000200,2025-10-10 08:21:00,C02300,P00680,S052,1,89292.41,0.05,80363.17,CARD,delivered
O0000201,2026-01-28 09:13:00,C02147,P00783,S031,3,37576.69,0.1,101457.06,CARD,cancelled
O0000202,2026-02-13 01:25:00,C00160,P00764,S055,3,72217.82,0.15,184155.44,CARD,returned
O0000203,2026-02-18 07:45:00,C02242,P00311,S023,3,9188.73,0.1,26187.88,CARD,cancelled
O0000204,2026-03-11 09:25:00,C01356,P00343,S007,2,68187.0,0.15,136374.0,NETBANKING,shipped
O0000205,2026-03-30 01:25:00,C01444,P00082,S047,3,58675.02,0.15,158422.55,CARD,delivered
O0000206,2026-02-22 05:46:00,C02216,P00342,S042,1,1552.71,0.0,1552.71,UPI,cancelled
O0000207,2026-03-11 22:19:00,C00957,P00103,S011,1,30669.06,0.0,30669.06,NETBANKING,returned
O0000208,2026-01-08 03:38:00,C01209,P00722,S057,1,18705.7,0.15,16835.13,UPI,delivered
O0000209,2025-11-13 20:01:00,C00958,P00323,S035,4,9307.16,0.0,33505.78,CARD,delivered
O0000210,2025-10-22 21:08:00,C02318,P00366,S008,2,37576.69,0.0,67638.04,CARD,cancelled
O0000211,2026-03-29 01:05:00,C01382,P00220,S024,3,unknown,0.1,bad_amount,COD,cancelled
O0000212,2026-03-12 19:21:00,C00180,P00505,S013,1,37576.69,0.15,33819.02,CARD,delivered
O0000213,2026-01-27 19:35:00,C00115,P00237,S009,1,56418.22,0.0,50776.4,UPI,cancelled
O0000214,2025-12-13 21:39:00,C00833,P00707,S075,2,8221.56,0.0,16443.12,UPI,shipped
O0000215,2025-12-29 04:02:00,C02075,P00627,S037,2,35995.69,0.0,71991.38,UPI,returned
O0000216,2025-12-16 20:39:00,C00714,P00559,S046,1,57830.24,0.1,52047.22,CARD,shipped
O0000217,2026-03-25 18:21:00,C01589,P00073,S005,2,8657.38,0.0,15583.28,NETBANKING,cancelled
O0000218,2026-02-23 18:00:00,C02243,P00061,S010,1,1514.72,0.15,1287.51,NETBANKING,cancelled
O0000219,2025-12-07 01:49:00,C00514,P00734,S028,2,6922.87,0.05,12461.17,COD,shipped
O0000220,2026-02-26 22:23:00,C01609,P00503,S059,2,71723.42,0.15,143446.84,CARD,shipped
O0000221,2025-12-23 00:13:00,C00046,P00075,S064,2,58841.77,0.05,105915.19,NETBANKING,shipped
O0000222,2025-12-05 04:57:00,C00434,P00471,S069,4,20249.95,0.1,72899.82,CARD,returned
O0000223,2025-10-16 20:11:00,C00897,P00227,S040,5,38399.61,0.1,182398.15,UPI,delivered
O0000224,2025-10-04 23:50:00,C01728,P00694,S006,1,1922.83,0.1,1922.83,CARD,delivered
O0000225,2026-03-13 17:35:00,C00996,P00015,S020,4,54356.5,0.0,195683.4,UPI,cancelled
O0000226,2026-01-09 14:14:00,C01154,P00695,S043,2,62788.56,0.15,125577.12,COD,returned
O0000227,2026-02-20 17:28:00,C00360,P00176,S055,3,18525.18,0.1,52796.76,CARD,cancelled
O0000228,2025-10-12 07:53:00,C00035,P00711,S019,2,66211.05,0.15,125800.99,COD,shipped
O0000229,2026-02-11 05:04:00,C00102,P00712,S017,3,29119.69,0.0,74255.21,NETBANKING,delivered
O0000230,2025-10-24 11:53:00,C00742,P00194,S056,2,38830.73,0.05,77661.46,UPI,returned
O0000231,2026-04-04 21:10:00,C02140,P00587,S063,1,75849.67,0.0,75849.67,COD,returned
O0000232,2026-99-99 10:00:00,C00867,P00549,S048,1,6106.6,0.1,5190.61,UPI,returned
O0000233,2025-12-20 18:47:00,C00686,P00721,S013,4,12328.05,0.15,41915.37,UPI,delivered
O0000234,2025-12-26 07:30:00,C00276,P00561,S049,5,19311.58,0.05,91730.01,NETBANKING,delivered
O0000235,2026-02-08 08:21:00,C02105,P00142,S022,3,56384.75,0.15,169154.25,CARD,delivered
O0000236,2025-10-14 05:35:00,C02199,P00131,S030,2,27086.8,0.05,48756.24,CARD,delivered
O0000237,2025-12-04 02:17:00,C00866,P00749,S017,3,2275.21,0.0,6143.07,UPI,cancelled
O0000238,2026-01-01 18:38:00,C00519,P00754,S002,2,70342.87,0.05,140685.74,UPI,delivered
O0000239,2025-10-13 08:59:00,C00535,P00735,S057,2,28968.34,0.15,55039.85,COD,delivered
O0000240,2026-03-28 03:15:00,C00170,P00796,S017,3,33429.26,0.0,95273.39,NETBANKING,shipped
O0000241,2025-10-13 13:16:00,C00236,P00353,S030,4,85633.1,0.15,342532.4,NETBANKING,cancelled
O0000242,2025-12-31 12:57:00,C00541,P00787,S010,5,34760.41,0.0,165111.95,CARD,returned
O0000243,2025-10-23 13:43:00,C01549,P00623,S006,1,40143.27,0.05,36128.94,CARD,delivered
O0000244,2025-10-08 08:15:00,C01586,P00402,S021,5,18851.23,0.05,94256.15,UPI,delivered
O0000245,2025-10-31 13:31:00,C01503,P00416,S072,1,68041.59,0.1,68041.59,NETBANKING,cancelled
O0000246,2026-01-26 01:24:00,C00627,P00087,S074,2,70342.87,0.15,119582.88,COD,shipped
O0000247,2025-10-16 09:37:00,C01231,P00672,S005,3,76944.83,0.15,207751.04,NETBANKING,cancelled
O0000248,2025-11-20 21:19:00,C00921,P00582,S054,5,46207.17,0.1,219484.06,UPI,shipped
O0000249,2026-03-15 19:24:00,C00531,P00173,S050,2,49547.43,0.05,94140.12,NETBANKING,delivered
O0000250,2025-10-23 09:09:00,C00563,P00757,S044,3,53115.56,0.1,135444.68,COD,delivered
O0000251,2025-10-26 21:32:00,C02187,P00753,S064,5,13507.47,0.0,67537.35,NETBANKING,delivered
O0000252,2026-03-13 07:46:00,C02461,P00585,S049,3,17472.25,0.1,52416.75,CARD,delivered
O0000253,2026-02-21 10:51:00,C01888,P00192,S047,2,8583.97,0.0,15451.15,COD,returned
O0000254,2025-11-30 07:15:00,C00987,P00080,S011,3,51425.08,0.1,154275.24,NETBANKING,cancelled
O0000255,2025-10-08 11:46:00,C01600,P00707,S073,3,50679.03,0.1,129231.53,NETBANKING,shipped
O0000256,2026-01-25 12:37:00,C00817,P00370,S031,3,59184.15,0.15,159797.21,COD,returned
O0000257,2026-01-29 08:25:00,C00261,P00442,S027,4,2911.66,0.1,9899.64,CARD,delivered
O0000258,2025-11-15 10:18:00,C02346,P00341,S040,3,19766.23,0.0,59298.69,COD,delivered
O0000259,2026-01-11 19:09:00,C02359,P00391,S051,3,75564.96,0.1,204025.39,NETBANKING,delivered
