product_id,product_name,category,brand,unit_price,status,created_date,effective_date,operation
P00326,Perfume 326,Beauty,BrandA,46671.99,discontinued,2025-06-01,2026-04-25,UPDATE
P00649,Lamp 649,Home,BrandD,93322.18,discontinued,2024-04-26,2026-04-25,UPDATE
P00234,Coffee 234,Grocery,BrandC,59480.24,active,2025-03-09,2026-04-25,UPDATE
P00406,Mixer 406,Home,BrandC,59438.83,discontinued,2023-11-03,2026-04-25,UPDATE
P00317,T-Shirt 317,Fashion,BrandA,25421.84,discontinued,2025-06-17,2026-04-25,UPDATE
P00483,Cream 483,Beauty,BrandB,3137.67,active,2025-01-09,2026-04-25,UPDATE
P00132,Cream 132,Beauty,BrandD,21852.07,discontinued,2023-04-10,2026-04-25,UPDATE
P00643,Laptop 643,Electronics,BrandA,39811.68,active,2024-01-29,2026-04-25,UPDATE
P00052,Sneakers 52,Fashion,BrandD,89735.67,active,2023-08-04,2026-04-25,UPDATE
P00539,Perfume 539,Beauty,BrandA,18734.68,active,2024-02-19,2026-04-25,UPDATE
