product_id,product_name,category,brand,unit_price,status,created_date,effective_date,operation
P00423,Jeans 423,Fashion,BrandA,47909.7,discontinued,2024-10-18,2026-04-24,UPDATE
P00237,Jeans 237,Fashion,BrandB,42674.87,active,2023-02-23,2026-04-24,UPDATE
P00678,Headphones 678,Electronics,BrandA,84086.81,active,2024-01-02,2026-04-24,UPDATE
P00481,Coffee 481,Grocery,BrandD,73924.19,active,2024-01-14,2026-04-24,UPDATE
P00790,Chair 790,Home,BrandB,72927.39,active,2024-11-10,2026-04-24,UPDATE
P00752,Cream 752,,BrandB,48864.39,discontinued,2025-05-20,2026-04-24,UPDATE
P00747,Rice 747,Grocery,BrandB,9408.65,discontinued,2025-02-13,2026-04-24,UPDATE
P00731,Tea 731,Grocery,BrandB,46271.97,active,2023-04-04,2026-04-24,UPDATE
P00305,Chair 305,Home,BrandC,65024.97,discontinued,2024-12-14,2026-04-24,UPDATE
P00541,Laptop 541,Electronics,BrandA,82951.89,active,2025-12-22,2026-04-24,UPDATE
P00285,Jacket 285,Fashion,BrandB,36482.64,active,2024-12-18,2026-04-24,UPDATE
P00637,Tea 637,Grocery,BrandC,75317.43,active,2023-12-04,2026-04-24,UPDATE
P00085,Mouse 85,Electronics,BrandC,64810.46,active,2023-02-04,2026-04-24,UPDATE
P00635,Rice 635,Grocery,BrandA,62387.77,active,2025-01-28,2026-04-24,UPDATE
P00715,Cream 715,Beauty,BrandB,19618.59,active,2024-02-28,2026-04-24,UPDATE
P00371,Coffee 371,Grocery,BrandB,46230.88,active,2024-10-13,2026-04-24,UPDATE
P00639,Headphones 639,Electronics,BrandA,5655.01,active,2025-05-27,2026-04-24,UPDATE
P00583,Jeans 583,Fashion,BrandD,32219.27,active,2024-05-24,2026-04-24,UPDATE
P00266,Cream 266,Beauty,BrandC,41379.25,active,2024-11-02,2026-04-24,UPDATE
P00619,Coffee 619,Grocery,BrandA,66494.86,active,2025-02-12,2026-04-24,UPDATE
P00674,Mouse 674,Electronics,BrandD,28600.53,active,2023-07-23,2026-04-24,UPDATE
P00344,Rice 344,Grocery,BrandC,35498.03,discontinued,2025-03-07,2026-04-24,UPDATE
P00228,Laptop 228,Electronics,BrandC,63745.14,active,2025-06-14,2026-04-24,UPDATE
P00307,Lamp 307,Home,BrandA,55868.89,discontinued,2024-10-02,2026-04-24,UPDATE
P00055,Rice 55,Grocery,BrandD,41554.61,active,2025-05-06,2026-04-24,UPDATE
P00083,Laptop 83,Electronics,BrandB,63264.84,active,2023-09-27,2026-04-24,UPDATE
P00483,Cream 483,Beauty,BrandB,78089.69,active,2025-01-09,2026-04-24,UPDATE
P00650,Lamp 650,Home,BrandD,22712.17,active,2023-11-14,2026-04-24,UPDATE
P00357,Rice 357,Grocery,BrandA,7462.21,active,2025-02-20,2026-04-24,UPDATE
P00349,Chair 349,Home,BrandB,3329.93,active,2025-05-23,2026-04-24,UPDATE
P00208,Shampoo 208,Beauty,BrandB,60009.02,active,2023-11-17,2026-04-24,UPDATE
P00003,Bedsheet 3,Home,BrandD,1618.23,active,2024-10-23,2026-04-24,UPDATE
P00073,Mixer 73,Home,BrandB,11767.54,active,2024-07-22,2026-04-24,UPDATE
P00270,Jacket 270,Fashion,BrandB,24035.77,discontinued,2024-06-22,2026-04-24,UPDATE
P00506,Tea 506,Grocery,BrandB,23401.92,active,2024-12-04,2026-04-24,UPDATE
P00675,Sneakers 675,Fashion,BrandC,46466.62,active,2025-05-01,2026-04-24,UPDATE
